algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,8,750000,0.001287,0.008899,0.000000,0.002663,0.004222,0.016450,1
bs2,10,750000,0.000963,0.007197,0.000000,0.002174,0.004175,0.014122,1
bs2,12,750000,0.000928,0.006209,0.000000,0.001857,0.004124,0.012935,1
bs2,16,750000,0.000908,0.004894,0.000000,0.001544,0.004204,0.011373,1
bs2,20,750000,0.001041,0.003990,0.000000,0.001541,0.004413,0.010601,1
bs2,24,750000,0.001107,0.003252,0.000000,0.001608,0.004547,0.009827,1
bs2,32,750000,0.001348,0.004471,0.000000,0.001744,0.004989,0.011968,1
bs2,48,750000,0.001620,0.003519,0.000000,0.002015,0.005075,0.011537,1
bs2,1,775000,0.006042,0.062409,0.000000,0.019769,0.010196,0.095829,1
bs2,2,775000,0.003296,0.033582,0.000000,0.010160,0.006893,0.052721,1
bs2,3,775000,0.002219,0.023257,0.000000,0.006897,0.006081,0.037709,1
bs2,4,775000,0.001789,0.017442,0.000000,0.005268,0.005196,0.029319,1
bs2,6,775000,0.001336,0.012482,0.000000,0.003633,0.004631,0.021603,1
bs2,8,775000,0.001118,0.009648,0.000000,0.002756,0.004402,0.017648,1
bs2,10,775000,0.001047,0.007864,0.000000,0.002236,0.004358,0.015293,1
bs2,12,775000,0.000977,0.006160,0.000000,0.001936,0.004279,0.013128,1
bs2,16,775000,0.001079,0.004877,0.000000,0.001620,0.004387,0.011563,1
bs2,20,775000,0.001107,0.003998,0.000000,0.001612,0.004576,0.010898,1
bs2,24,775000,0.001133,0.003438,0.000000,0.001667,0.004728,0.010270,1
bs2,32,775000,0.001272,0.004577,0.000000,0.001797,0.005285,0.012388,1
bs2,48,775000,0.001649,0.003784,0.000000,0.001958,0.005306,0.011664,1
bs2,1,800000,0.006263,0.067997,0.000000,0.020492,0.011092,0.103642,1
bs2,2,800000,0.003176,0.034293,0.000000,0.010465,0.006981,0.053797,1
bs2,3,800000,0.002351,0.023748,0.000000,0.007132,0.005838,0.038118,1
bs2,4,800000,0.001842,0.017971,0.000000,0.005457,0.005535,0.030145,1
bs2,6,800000,0.001348,0.012254,0.000000,0.003708,0.004824,0.021714,1
bs2,8,800000,0.001134,0.009495,0.000000,0.002868,0.004624,0.017833,1
bs2,10,800000,0.001043,0.008162,0.000000,0.002352,0.004569,0.015693,1
bs2,12,800000,0.001362,0.006830,0.000000,0.002020,0.004499,0.013909,1
bs2,16,800000,0.001005,0.005250,0.000000,0.001704,0.004537,0.011986,1
